mode,reward_model,num_states,seed,t,top_followers
static,shared_base_gaussian,10,0,1,0
static,shared_base_gaussian,10,0,101,0
static,shared_base_gaussian,10,0,201,0
static,shared_base_gaussian,10,0,301,0
static,shared_base_gaussian,10,0,401,0
static,shared_base_gaussian,10,0,501,0
static,shared_base_gaussian,10,0,601,0
static,shared_base_gaussian,10,0,701,0
static,shared_base_gaussian,10,0,801,0
static,shared_base_gaussian,10,0,901,0
static,shared_base_gaussian,10,0,1001,0
static,shared_base_gaussian,10,0,1101,0
static,shared_base_gaussian,10,0,1201,0
static,shared_base_gaussian,10,0,1301,0
static,shared_base_gaussian,10,0,1401,0
static,shared_base_gaussian,10,0,1501,0
static,shared_base_gaussian,10,0,1601,0
static,shared_base_gaussian,10,0,1701,0
static,shared_base_gaussian,10,0,1801,0
static,shared_base_gaussian,10,0,1901,0
static,shared_base_gaussian,10,0,2001,0
static,shared_base_gaussian,10,0,2101,0
static,shared_base_gaussian,10,0,2201,0
static,shared_base_gaussian,10,0,2301,0
static,shared_base_gaussian,10,0,2401,0
static,shared_base_gaussian,10,0,2501,0
static,shared_base_gaussian,10,0,2601,0
static,shared_base_gaussian,10,0,2701,0
static,shared_base_gaussian,10,0,2801,0
static,shared_base_gaussian,10,0,2901,0
static,shared_base_gaussian,10,0,3001,0
static,shared_base_gaussian,10,0,3101,0
static,shared_base_gaussian,10,0,3201,0
static,shared_base_gaussian,10,0,3301,0
static,shared_base_gaussian,10,0,3401,0
static,shared_base_gaussian,10,0,3501,0
static,shared_base_gaussian,10,0,3601,0
static,shared_base_gaussian,10,0,3701,0
static,shared_base_gaussian,10,0,3801,0
static,shared_base_gaussian,10,0,3901,0
static,shared_base_gaussian,10,0,4001,0
static,shared_base_gaussian,10,0,4101,0
static,shared_base_gaussian,10,0,4201,0
static,shared_base_gaussian,10,0,4301,0
static,shared_base_gaussian,10,0,4401,0
static,shared_base_gaussian,10,0,4501,0
static,shared_base_gaussian,10,0,4601,0
static,shared_base_gaussian,10,0,4701,0
static,shared_base_gaussian,10,0,4801,0
static,shared_base_gaussian,10,0,4901,0
static,shared_base_gaussian,10,0,5000,0
