mode,reward_model,num_states,seed,t,top_followers
static,shared_base_gaussian,3,0,1,0
static,shared_base_gaussian,3,0,51,0
static,shared_base_gaussian,3,0,101,0
static,shared_base_gaussian,3,0,151,0
static,shared_base_gaussian,3,0,201,0
static,shared_base_gaussian,3,0,251,0
static,shared_base_gaussian,3,0,301,0
static,shared_base_gaussian,3,0,351,0
static,shared_base_gaussian,3,0,400,0
static,shared_base_gaussian,4,0,1,0
static,shared_base_gaussian,4,0,51,0
static,shared_base_gaussian,4,0,101,0
static,shared_base_gaussian,4,0,151,0
static,shared_base_gaussian,4,0,201,0
static,shared_base_gaussian,4,0,251,0
static,shared_base_gaussian,4,0,301,0
static,shared_base_gaussian,4,0,351,0
static,shared_base_gaussian,4,0,400,0
