mode,gamma,kappa,n_runs,reach_rate,n_reached,mean_final_top_followers,std_final_top_followers,ci95_final_top_followers,mean_time_to_90pct_followers,std_time_to_90pct_followers,ci95_time_to_90pct_followers,mean_leader_switches,std_leader_switches,ci95_leader_switches,mean_tail_welfare,std_tail_welfare,ci95_tail_welfare,mean_leader_is_status_final,std_leader_is_status_final,ci95_leader_is_status_final,mean_final_status_count,std_final_status_count,ci95_final_status_count,mean_tail_status_leader_share,std_tail_status_leader_share,ci95_tail_status_leader_share,mean_tail_status_agent_share,std_tail_status_agent_share,ci95_tail_status_agent_share,mean_final_norm_welfare_check,std_final_norm_welfare_check,ci95_final_norm_welfare_check,mean_best_norm_welfare,std_best_norm_welfare,ci95_best_norm_welfare,mean_welfare_gap_to_best,std_welfare_gap_to_best,ci95_welfare_gap_to_best,mean_is_final_norm_optimal,std_is_final_norm_optimal,ci95_is_final_norm_optimal,mean_tail_top_follower_share,std_tail_top_follower_share,ci95_tail_top_follower_share,mean_consensus_step_first,std_consensus_step_first,ci95_consensus_step_first,mean_consensus_step_final,std_consensus_step_final,ci95_consensus_step_final,mean_num_consensus,std_num_consensus,ci95_num_consensus
static,3.5,0.0,3,0.0,0,6.0,3.605551275463989,4.08006535895362,-1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.25491919162733,0.18562542205695196,0.21005493929031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.70779029540328,0.7440760092617303,0.842001269119813,11.17553891497993,0.23227719464273663,0.2628463896730464,0.46774861957664865,0.5138163791017062,0.5814379685852814,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.20689655172413793,0.12432935432634448,0.1406919089294352,nan,nan,nan,nan,nan,nan,nan,nan,nan
static,3.5,0.01,3,0.0,0,6.0,3.605551275463989,4.08006535895362,-1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.25491919162733,0.18562542205695196,0.21005493929031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.70779029540328,0.7440760092617303,0.842001269119813,11.17553891497993,0.23227719464273663,0.2628463896730464,0.46774861957664865,0.5138163791017062,0.5814379685852814,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.20689655172413793,0.12432935432634448,0.1406919089294352,nan,nan,nan,nan,nan,nan,nan,nan,nan
static,3.5,0.02,3,0.0,0,6.0,3.605551275463989,4.08006535895362,-1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.25491919162733,0.18562542205695196,0.21005493929031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.70779029540328,0.7440760092617303,0.842001269119813,11.17553891497993,0.23227719464273663,0.2628463896730464,0.46774861957664865,0.5138163791017062,0.5814379685852814,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.20689655172413793,0.12432935432634448,0.1406919089294352,nan,nan,nan,nan,nan,nan,nan,nan,nan
static,3.5,0.05,3,0.0,0,6.0,3.605551275463989,4.08006535895362,-1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.25491919162733,0.18562542205695196,0.21005493929031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.70779029540328,0.7440760092617303,0.842001269119813,11.17553891497993,0.23227719464273663,0.2628463896730464,0.46774861957664865,0.5138163791017062,0.5814379685852814,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.20689655172413793,0.12432935432634448,0.1406919089294352,nan,nan,nan,nan,nan,nan,nan,nan,nan
static,3.5,0.1,3,0.0,0,6.0,3.605551275463989,4.08006535895362,-1.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,10.25491919162733,0.18562542205695196,0.21005493929031746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.70779029540328,0.7440760092617303,0.842001269119813,11.17553891497993,0.23227719464273663,0.2628463896730464,0.46774861957664865,0.5138163791017062,0.5814379685852814,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.20689655172413793,0.12432935432634448,0.1406919089294352,nan,nan,nan,nan,nan,nan,nan,nan,nan
static,4.0,0.0,3,0.0,0,8.333333333333334,7.571877794400365,8.56838633842128,-1.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,10.309555730999444,0.13393034970853882,0.1515564579754958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.030062598996283,0.41020564046653557,0.4641913804150561,11.149670178270702,0.2286013586797203,0.2586867897028674,0.11960757927441772,0.20716640427361369,0.2344308553778587,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.28735632183908044,0.26109923428966775,0.29546159787659587,6000.0,0.0,0.0,6001.0,0.0,0.0,1.0,0.0,0.0
static,4.0,0.01,3,0.0,0,8.333333333333334,7.571877794400365,8.56838633842128,-1.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,10.309555730999444,0.13393034970853882,0.1515564579754958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.030062598996283,0.41020564046653557,0.4641913804150561,11.149670178270702,0.2286013586797203,0.2586867897028674,0.11960757927441772,0.20716640427361369,0.2344308553778587,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.28735632183908044,0.26109923428966775,0.29546159787659587,6000.0,0.0,0.0,6001.0,0.0,0.0,1.0,0.0,0.0
static,4.0,0.02,3,0.0,0,8.333333333333334,7.571877794400365,8.56838633842128,-1.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,10.309555730999444,0.13393034970853882,0.1515564579754958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.030062598996283,0.41020564046653557,0.4641913804150561,11.149670178270702,0.2286013586797203,0.2586867897028674,0.11960757927441772,0.20716640427361369,0.2344308553778587,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.28735632183908044,0.26109923428966775,0.29546159787659587,6000.0,0.0,0.0,6001.0,0.0,0.0,1.0,0.0,0.0
static,4.0,0.05,3,0.0,0,8.333333333333334,7.571877794400365,8.56838633842128,-1.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,10.309555730999444,0.13393034970853882,0.1515564579754958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.030062598996283,0.41020564046653557,0.4641913804150561,11.149670178270702,0.2286013586797203,0.2586867897028674,0.11960757927441772,0.20716640427361369,0.2344308553778587,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.28735632183908044,0.26109923428966775,0.29546159787659587,6000.0,0.0,0.0,6001.0,0.0,0.0,1.0,0.0,0.0
static,4.0,0.1,3,0.0,0,8.333333333333334,7.571877794400365,8.56838633842128,-1.0,0.0,0.0,1.6666666666666667,0.5773502691896257,0.6533333333333333,10.309555730999444,0.13393034970853882,0.1515564579754958,0.0,0.0,0.0,0.3333333333333333,0.5773502691896258,0.6533333333333334,0.0,0.0,0.0,0.011111111111111112,0.019245008972987525,0.021777777777777778,11.030062598996283,0.41020564046653557,0.4641913804150561,11.149670178270702,0.2286013586797203,0.2586867897028674,0.11960757927441772,0.20716640427361369,0.2344308553778587,0.6666666666666666,0.5773502691896258,0.6533333333333334,0.28735632183908044,0.26109923428966775,0.29546159787659587,6000.0,0.0,0.0,6001.0,0.0,0.0,1.0,0.0,0.0
