mode,gamma,seed,kappa,leader_id,leader_role_final,final_top_followers,tail_welfare,final_norm,final_norm_welfare_check,best_norm,best_norm_welfare,welfare_gap_to_best,is_final_norm_optimal
static,3.5,0,0.0,24,personal_utility,3,10.215186280396152,00100,10.784684953000692,00000,11.170213445375241,0.385528492374549,0
static,3.5,0,0.01,24,personal_utility,3,10.215186280396152,00100,10.784684953000692,00000,11.170213445375241,0.385528492374549,0
static,3.5,0,0.02,24,personal_utility,3,10.215186280396152,00100,10.784684953000692,00000,11.170213445375241,0.385528492374549,0
static,3.5,0,0.05,24,personal_utility,3,10.215186280396152,00100,10.784684953000692,00000,11.170213445375241,0.385528492374549,0
static,3.5,0,0.1,24,personal_utility,3,10.215186280396152,00100,10.784684953000692,00000,11.170213445375241,0.385528492374549,0
static,3.5,1,0.0,9,personal_utility,10,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,3.5,1,0.01,9,personal_utility,10,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,3.5,1,0.02,9,personal_utility,10,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,3.5,1,0.05,9,personal_utility,10,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,3.5,1,0.1,9,personal_utility,10,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,3.5,2,0.0,13,personal_utility,5,10.092377398696852,10110,9.92825288012143,00000,10.945970246476827,1.017717366355397,0
static,3.5,2,0.01,13,personal_utility,5,10.092377398696852,10110,9.92825288012143,00000,10.945970246476827,1.017717366355397,0
static,3.5,2,0.02,13,personal_utility,5,10.092377398696852,10110,9.92825288012143,00000,10.945970246476827,1.017717366355397,0
static,3.5,2,0.05,13,personal_utility,5,10.092377398696852,10110,9.92825288012143,00000,10.945970246476827,1.017717366355397,0
static,3.5,2,0.1,13,personal_utility,5,10.092377398696852,10110,9.92825288012143,00000,10.945970246476827,1.017717366355397,0
static,4.0,0,0.0,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.0,0,0.01,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.0,0,0.02,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.0,0,0.05,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.0,0,0.1,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.0,1,0.0,17,personal_utility,17,10.453927213997218,00000,11.396910427648319,00000,11.396910427648319,0.0,1
static,4.0,1,0.01,17,personal_utility,17,10.453927213997218,00000,11.396910427648319,00000,11.396910427648319,0.0,1
static,4.0,1,0.02,17,personal_utility,17,10.453927213997218,00000,11.396910427648319,00000,11.396910427648319,0.0,1
static,4.0,1,0.05,17,personal_utility,17,10.453927213997218,00000,11.396910427648319,00000,11.396910427648319,0.0,1
static,4.0,1,0.1,17,personal_utility,17,10.453927213997218,00000,11.396910427648319,00000,11.396910427648319,0.0,1
static,4.0,2,0.0,13,personal_utility,5,10.189359628683135,00100,10.587147508653574,00000,10.945970246476827,0.35882273782325314,0
static,4.0,2,0.01,13,personal_utility,5,10.189359628683135,00100,10.587147508653574,00000,10.945970246476827,0.35882273782325314,0
static,4.0,2,0.02,13,personal_utility,5,10.189359628683135,00100,10.587147508653574,00000,10.945970246476827,0.35882273782325314,0
static,4.0,2,0.05,13,personal_utility,5,10.189359628683135,00100,10.587147508653574,00000,10.945970246476827,0.35882273782325314,0
static,4.0,2,0.1,13,personal_utility,5,10.189359628683135,00100,10.587147508653574,00000,10.945970246476827,0.35882273782325314,0
static,4.5,0,0.0,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.5,0,0.01,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.5,0,0.02,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.5,0,0.05,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.5,0,0.1,21,personal_utility,3,10.285380350317977,00000,11.106129860686961,00000,11.106129860686961,0.0,1
static,4.5,1,0.0,9,personal_utility,29,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,4.5,1,0.01,9,personal_utility,29,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,4.5,1,0.02,9,personal_utility,29,10.457193895788983,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,4.5,1,0.05,9,status,29,10.359541599645857,10000,11.061890083025263,00000,11.41043305308772,0.34854297006245716,0
static,4.5,1,0.1,9,status,29,10.681653123702617,00000,11.41043305308772,00000,11.41043305308772,0.0,1
static,4.5,2,0.0,17,personal_utility,10,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
static,4.5,2,0.01,17,personal_utility,10,10.233929367337373,00100,10.593273801592721,00000,10.95816599851378,0.36489219692105834,0
